fecha,procedencia,personas
2021-11-28,Polonia,38
2021-11-28,Oceanía,0
2021-11-28,Estonia-Letonia-Lituania,0
2021-11-28,Asia y Oriente Próx.,0
2021-11-28,Gran Bretaña,3
2021-11-28,Francia,2
2021-11-28,América del Norte,0
2021-11-28,Austria,1
2021-11-28,Residente,0
2021-11-28,América del Sur,0
2021-11-28,Europa,4
2021-11-28,Italia,0
2021-11-28,R. Checa,2
2021-12-04,Asia y Oriente Próx.,0
2021-12-04,Oceanía,0
2021-12-04,América del Norte,0
2021-12-04,Polonia,14
2021-12-04,Alemania,38
2021-12-04,África,0
2021-12-04,R. Eslovaca,0
2021-12-04,Europa,11
2021-12-04,América del Sur,0
2021-12-04,Austria,0
2021-12-04,Italia,6
2021-12-04,Estonia-Letonia-Lituania,8
2021-12-04,Rusia,0
2021-12-04,Francia,3
2021-12-04,R. Checa,4
2021-12-04,Residente,2
2021-12-04,España,29
2021-12-04,Gran Bretaña,5
2021-12-05,Oceanía,0
2021-12-05,Francia,1
2021-12-05,América del Sur,0
2021-12-05,R. Checa,4
2021-12-05,Austria,3
2021-12-05,Alemania,37
2021-12-05,Polonia,19
2021-12-05,Gran Bretaña,1
2021-12-05,África,0
2021-12-05,Residente,14
2021-12-05,América del Norte,0
2021-12-05,R. Eslovaca,0
2021-12-05,Europa,9
2021-12-05,Rusia,0
2021-12-05,España,12
2021-12-05,Italia,3
2021-12-05,Estonia-Letonia-Lituania,3
2021-12-05,Asia y Oriente Próx.,1
2021-12-06,Gran Bretaña,9
2021-12-06,América del Norte,0
2021-12-06,R. Eslovaca,0
2021-12-06,Alemania,44
2021-12-06,África,0
2021-12-06,R. Checa,1
2021-12-06,Rusia,0
2021-12-06,Europa,4
2021-12-06,Asia y Oriente Próx.,3
2021-12-06,Francia,4
2021-12-06,España,25
2021-12-06,Residente,4
2021-12-06,Italia,0
2021-12-06,Austria,4
2021-12-06,Oceanía,0
2021-12-06,Estonia-Letonia-Lituania,0
2021-12-06,Polonia,5
2021-12-06,América del Sur,0
2021-12-08,Estonia-Letonia-Lituania,0
2021-12-08,Gran Bretaña,5
2021-12-08,Rusia,0
2021-12-08,R. Checa,0
2021-12-08,África,0
2021-12-08,Oceanía,0
2021-12-08,Alemania,19
2021-12-08,Europa,17
2021-12-08,Residente,0
2021-12-08,Asia y Oriente Próx.,0
2021-12-08,R. Eslovaca,2
2021-12-08,Francia,2
2021-12-08,América del Sur,0
2021-12-08,España,23
2021-12-08,América del Norte,0
2021-12-08,Italia,5
2021-12-08,Polonia,12
2021-12-08,Austria,0
2021-12-11,Francia,2
2021-12-11,Asia y Oriente Próx.,0
2021-12-11,Gran Bretaña,3
2021-12-11,Oceanía,0
2021-12-11,América del Sur,0
2021-12-11,España,17
2021-12-11,Europa,3
2021-12-11,Austria,6
2021-12-11,Rusia,0
2021-12-11,Estonia-Letonia-Lituania,2
2021-12-11,R. Checa,0
2021-12-11,Polonia,21
2021-12-11,Italia,6
2021-12-11,R. Eslovaca,0
2021-12-11,Alemania,20
2021-12-11,Residente,5
2021-12-11,América del Norte,0
2021-12-11,África,0
2021-12-12,R. Checa,10
2021-12-12,Estonia-Letonia-Lituania,8
2021-12-12,Europa,9
2021-12-12,Polonia,13
2021-12-12,América del Sur,0
2021-12-12,España,12
2021-12-12,Austria,0
2021-12-12,Gran Bretaña,0
2021-12-12,Rusia,1
2021-12-12,África,0
2021-12-12,Oceanía,0
2021-12-12,Alemania,25
2021-12-12,Residente,5
2021-12-12,Italia,3
2021-12-12,Asia y Oriente Próx.,1
2021-12-12,R. Eslovaca,0
2021-12-12,América del Norte,0
2021-12-12,Francia,2
2021-12-18,África,0
2021-12-18,Rusia,1
2021-12-18,Asia y Oriente Próx.,1
2021-12-18,Estonia-Letonia-Lituania,1
2021-12-18,América del Norte,0
2021-12-18,R. Checa,11
2021-12-18,Polonia,8
2021-12-18,España,16
2021-12-18,Alemania,24
2021-12-18,Residente,19
2021-12-18,R. Eslovaca,0
2021-12-18,Francia,7
2021-12-18,Oceanía,0
2021-12-18,Gran Bretaña,2
2021-12-18,Austria,3
2021-12-18,América del Sur,0
2021-12-18,Europa,7
2021-12-18,Italia,1
2021-12-19,Italia,3
2021-12-19,Francia,6
2021-12-19,Rusia,0
2021-12-19,Estonia-Letonia-Lituania,0
2021-12-19,Alemania,26
2021-12-19,Polonia,29
2021-12-19,América del Sur,0
2021-12-19,España,2
2021-12-19,Europa,14
2021-12-19,África,0
